employee_id,fio,gender,birth_date,age,education,married,kids,position,employment_type,division,distance_km,commute_min,transport_type,city,hire_date,fire_date,seniority_years
47,Лобанова Зоя Тимуровна,Женский,1970-12-16,55,среднее профессиональное,1.0,1,Линейный менеджер,Полная занятость,Сбыт,18.3,91.0,Общественный,Санкт-Петербург,2014-06-26,,14
48,Самойлов Автоном Валентинович,Мужской,1976-03-16,49,высшее,1.0,1,Сотрудник,Полная занятость,Логистика,17.0,14.0,Личный,Санкт-Петербург,1980-08-26,,45
49,Федосеев Терентий Евстигнеевич,Мужской,1973-09-13,52,незаконченное высшее,1.0,1,Ведущий специалист,Частичная занятость,Производство,2.3,59.0,Общественный,Санкт-Петербург,2014-12-25,,11
50,Комиссаров Матвей Брониславович,Мужской,1987-09-07,38,среднее профессиональное,1.0,1,Сотрудник,Полная занятость,Техническое обслуживание,7.6,15.0,Общественный,Санкт-Петербург,1974-05-11,,54
51,Анисимова Нина Валериевна,Женский,1975-02-25,50,высшее,1.0,0,Ведущий специалист,Полная занятость,Производство,17.3,91.0,Общественный,Санкт-Петербург,2018-03-20,,8
52,Панов Авдей Евсеевич,Мужской,1963-02-18,62,высшее,1.0,1,Ведущий специалист,Полная занятость,Логистика,7.0,57.0,Общественный,Санкт-Петербург,1971-12-10,,51
53,Лыткин Сидор Вячеславович,Мужской,1990-06-08,35,высшее,0.0,0,Ведущий специалист,Полная занятость,Администрация,17.9,82.0,Личный,Санкт-Петербург,1997-11-13,,30
54,Селезнева Валентина Кузьминична,Женский,1967-08-01,58,высшее,1.0,1,Сотрудник,Полная занятость,Сервис и поддержка,8.8,62.0,Личный,Санкт-Петербург,2020-05-07,,5
55,Одинцова Прасковья Юльевна,Женский,1986-11-17,39,высшее,1.0,1,Ведущий специалист,Полная занятость,Финансы,22.1,56.0,Общественный,Санкт-Петербург,1993-04-04,2019-01-12,30
56,Лазарева Виктория Максимовна,Женский,1984-10-24,41,незаконченное высшее,0.0,0,Сотрудник,Полная занятость,Техническое обслуживание,8.2,1.0,Общественный,Санкт-Петербург,1991-02-04,,35
57,Фадеев Гостомысл Ааронович,Мужской,1973-04-02,52,высшее,1.0,0,Линейный менеджер,Частичная занятость,Техническое обслуживание,6.4,27.0,Личный,Санкт-Петербург,2019-12-06,,7
58,Моисеев Любомир Эдгардович,Мужской,1958-09-24,67,незаконченное высшее,1.0,0,Сотрудник,Полная занятость,Техническое обслуживание,14.2,,Личный,Санкт-Петербург,2021-10-03,,7
59,Соколов Вениамин Иосипович,Мужской,1997-09-22,28,высшее,0.0,1,Ведущий специалист,Полная занятость,Производство,13.8,94.0,Общественный,Санкт-Петербург,1975-09-08,,49
60,Шашкова Ксения Егоровна,Женский,1993-12-25,32,высшее,0.0,1,Ведущий специалист,Полная занятость,Администрация,6.5,70.0,Общественный,Санкт-Петербург,1964-10-18,,59
61,Павлов Иларион Артурович,Мужской,1974-11-06,51,среднее профессиональное,1.0,1,Ведущий специалист,Полная занятость,Сервис и поддержка,9.9,69.0,Личный,Санкт-Петербург,2015-10-03,2024-11-18,13
62,Михайлова Пелагея Афанасьевна,Женский,1953-03-26,72,высшее,1.0,0,Сотрудник,Полная занятость,Сбыт,12.9,1.0,Личный,Санкт-Петербург,2012-03-22,2012-07-12,14
63,Мишин Твердислав Валерьянович,Мужской,1964-12-12,61,высшее,1.0,1,Линейный менеджер,Полная занятость,HR,7.4,14.0,Общественный,Санкт-Петербург,2011-08-21,,13
64,Гусева Олимпиада Тимуровна,Женский,1996-07-10,29,не указано,1.0,0,Сотрудник,Полная занятость,Бухгалтерия,20.2,33.0,Общественный,Санкт-Петербург,2018-12-02,,8
65,Сергеев Капитон Федосьевич,Мужской,1956-07-15,69,незаконченное высшее,1.0,1,Сотрудник,Полная занятость,Производство,26.5,85.0,Общественный,Санкт-Петербург,2020-05-15,,6
66,Силин Еремей Германович,Мужской,1995-12-24,30,незаконченное высшее,1.0,1,Ведущий специалист,Временная,Логистика,8.2,12.0,Общественный,Санкт-Петербург,2010-03-14,,15
67,Кулаков Леонтий Трифонович,Мужской,1953-09-18,72,высшее,1.0,1,Руководитель отдела,Полная занятость,Производство,7.8,20.0,Общественный,Санкт-Петербург,2016-08-06,,11
68,Агафонов Мстислав Феоктистович,Мужской,1972-07-23,53,среднее профессиональное,1.0,1,Руководитель отдела,Временная,Производство,4.2,49.0,Личный,Санкт-Петербург,2014-09-26,,9
69,Мясникова Регина Петровна,Женский,1999-09-16,26,высшее,0.0,0,Линейный менеджер,Полная занятость,Бухгалтерия,17.3,99.0,Личный,Санкт-Петербург,2023-06-07,2023-01-12,5
70,Ковалев Иосиф Давидович,Мужской,1984-09-01,41,высшее,1.0,1,Сотрудник,Полная занятость,Сервис и поддержка,9.4,81.0,Общественный,Санкт-Петербург,2019-09-12,2023-12-04,9
71,Голубева Лукия Архиповна,Женский,1967-05-23,58,незаконченное высшее,1.0,0,Сотрудник,Полная занятость,Сбыт,17.9,91.0,Общественный,Санкт-Петербург,2004-12-03,,19
72,Сафонова Таисия Евгеньевна,Женский,1948-02-17,77,среднее профессиональное,1.0,1,Руководитель отдела,Полная занятость,Сбыт,5.1,28.0,Личный,Санкт-Петербург,2022-10-15,,6
73,Сафонова Елена Александровна,Женский,1978-09-15,47,высшее,0.0,0,Ведущий специалист,Полная занятость,Техническое обслуживание,9.3,27.0,Личный,Санкт-Петербург,1990-07-18,2024-12-02,36
74,Богданов Аристарх Давыдович,Мужской,1975-05-15,50,высшее,1.0,1,Сотрудник,Полная занятость,Производство,5.9,92.0,Общественный,Санкт-Петербург,2000-07-24,2018-04-26,28
75,Виноградов Амос Игнатович,Мужской,1993-04-13,32,высшее,0.0,1,Сотрудник,Полная занятость,Сервис и поддержка,5.5,55.0,Общественный,Санкт-Петербург,2009-08-22,,16
76,Богданов Софон Данилович,Мужской,1953-09-23,72,высшее,1.0,1,Сотрудник,Частичная занятость,Техническое обслуживание,4.2,20.0,Общественный,Санкт-Петербург,1981-01-25,,44
77,Матвеева Пелагея Даниловна,Женский,1968-05-16,57,высшее,1.0,1,Сотрудник,Полная занятость,HR,5.6,18.0,Общественный,Санкт-Петербург,1987-07-06,,37
78,Потапов Влас Харламович,Мужской,1968-05-20,57,незаконченное высшее,1.0,0,Сотрудник,Полная занятость,Бухгалтерия,6.3,29.0,Личный,Санкт-Петербург,2011-03-18,,12
79,Николаева Олимпиада Наумовна,Женский,1977-01-04,48,высшее,0.0,0,Ведущий специалист,Полная занятость,Безопасность,14.8,19.0,Общественный,Санкт-Петербург,2021-12-13,,4
80,Пономарева Антонина Болеславовна,Женский,1978-06-11,47,среднее профессиональное,1.0,1,Ведущий специалист,Удалённая,Производство,6.1,24.0,Общественный,Санкт-Петербург,2012-07-16,,10
81,Прохорова Нина Матвеевна,Женский,1995-12-20,30,среднее профессиональное,0.0,0,Сотрудник,Полная занятость,Сервис и поддержка,14.0,,Общественный,Санкт-Петербург,1971-11-21,1985-05-10,57
82,Родионов Остап Фролович,Мужской,1994-05-26,31,не указано,0.0,0,Сотрудник,Полная занятость,Логистика,8.9,18.0,Личный,Санкт-Петербург,2021-02-08,,5
83,Князева Алла Болеславовна,Женский,1982-01-09,43,среднее профессиональное,0.0,0,Сотрудник,Полная занятость,Администрация,18.5,6.0,Личный,Санкт-Петербург,2010-01-23,,14
84,Семенов Олимпий Игоревич,Мужской,1980-01-23,45,высшее,1.0,1,Ведущий специалист,Временная,Производство,3.5,1.0,Личный,Санкт-Петербург,1996-03-19,,30
85,Лаврентьев Велимир Денисович,Мужской,1963-06-15,62,не указано,1.0,1,Сотрудник,Полная занятость,Сбыт,14.9,80.0,Личный,Санкт-Петербург,2011-10-21,2021-08-02,15
86,Григорьева Евдокия Тарасовна,Женский,1950-12-02,75,высшее,0.0,1,Сотрудник,Полная занятость,ИТ,6.4,27.0,Личный,Санкт-Петербург,1972-10-23,,53
87,Третьяков Вышеслав Федосьевич,Мужской,1951-08-14,74,среднее профессиональное,1.0,1,Ведущий специалист,Полная занятость,Администрация,14.6,90.0,Общественный,Санкт-Петербург,2012-07-24,,15
88,Королев Клавдий Фомич,Мужской,1971-01-24,54,высшее,1.0,1,Ведущий специалист,Полная занятость,ИТ,13.7,86.0,Общественный,Санкт-Петербург,2012-10-02,,11
89,Крылов Афиноген Феофанович,Мужской,1969-09-16,56,высшее,1.0,1,Линейный менеджер,Временная,Сбыт,24.8,88.0,Общественный,Санкт-Петербург,1974-10-04,,51
90,Константинова Таисия Болеславовна,Женский,1989-06-03,36,среднее профессиональное,1.0,1,Сотрудник,Полная занятость,Сбыт,9.2,79.0,Общественный,Санкт-Петербург,2019-07-20,,8
91,Васильева София Андреевна,Женский,1965-12-19,60,высшее,1.0,1,Сотрудник,Полная занятость,Техническое обслуживание,,41.0,Общественный,Санкт-Петербург,2013-01-27,,15
92,Лыткин Вадим Данилович,Мужской,2003-06-13,22,среднее профессиональное,0.0,0,Сотрудник,Полная занятость,Техническое обслуживание,11.2,12.0,Смешанный,Санкт-Петербург,2020-01-22,,2
93,Сергеев Орест Чеславович,Мужской,1974-10-19,51,высшее,1.0,1,Сотрудник,Полная занятость,Сервис и поддержка,8.1,,Личный,Санкт-Петербург,1973-05-24,2002-06-07,52
94,Трофимова Екатерина Ниловна,Женский,1991-06-10,34,высшее,1.0,0,Линейный менеджер,Полная занятость,Логистика,8.0,46.0,Общественный,Санкт-Петербург,2000-04-24,,28
95,Лихачев Аристарх Владленович,Мужской,1980-09-05,45,высшее,1.0,1,Директор,Полная занятость,Администрация,5.9,22.0,Общественный,Санкт-Петербург,2016-06-23,,10
96,Щербаков Авдей Терентьевич,Мужской,1986-10-11,39,среднее профессиональное,0.0,1,Сотрудник,Временная,Сбыт,6.6,98.0,Личный,Санкт-Петербург,2001-08-15,,24
97,Белоусов Радован Ермилович,Мужской,1987-07-21,38,высшее,0.0,1,Сотрудник,Частичная занятость,Бухгалтерия,8.7,71.0,Общественный,Санкт-Петербург,2013-03-06,,15
98,Родионов Федор Чеславович,Мужской,1980-11-19,45,высшее,1.0,1,Сотрудник,Полная занятость,Финансы,1.3,51.0,Личный,Санкт-Петербург,2012-03-27,,15
99,Степанов Евграф Ерофеевич,Мужской,1984-12-16,41,высшее,0.0,1,Сотрудник,Временная,Логистика,9.6,83.0,Общественный,Санкт-Петербург,2015-10-27,,9
100,Рябов Арефий Ануфриевич,Мужской,1960-01-04,65,незаконченное высшее,1.0,1,Ведущий специалист,Полная занятость,Безопасность,7.3,1.0,Личный,Санкт-Петербург,2014-08-02,,11
101,Дементьева Лариса Аркадьевна,Женский,2000-10-01,25,высшее,0.0,0,Сотрудник,Полная занятость,Сервис и поддержка,10.1,51.0,Личный,Санкт-Петербург,2011-02-03,,14
102,Васильев Фотий Харлампович,Мужской,1977-09-20,48,среднее профессиональное,1.0,1,Сотрудник,Полная занятость,Финансы,18.5,40.0,Общественный,Санкт-Петербург,1976-09-03,1990-02-19,48
103,Овчинников Тарас Владиленович,Мужской,1991-06-14,34,высшее,0.0,0,Линейный менеджер,Полная занятость,Производство,10.0,36.0,Личный,Санкт-Петербург,1979-03-09,,47
104,Павлов Симон Артурович,Мужской,1969-09-27,56,высшее,1.0,1,Ведущий специалист,Полная занятость,Производство,2.7,40.0,Общественный,Санкт-Петербург,2018-11-14,,7
105,Якушев Дорофей Арсеньевич,Мужской,1966-07-16,59,среднее профессиональное,1.0,1,Сотрудник,Полная занятость,Логистика,29.9,127.0,Личный,Санкт-Петербург,1990-08-13,,35
106,Кириллова Ангелина Егоровна,Женский,1970-09-19,55,высшее,1.0,1,Линейный менеджер,Полная занятость,Сбыт,7.5,1.0,Общественный,Санкт-Петербург,1971-11-23,,57
107,Маслова Варвара Феликсовна,Женский,1980-12-06,45,высшее,1.0,0,Сотрудник,Полная занятость,Сбыт,7.9,36.0,Общественный,Санкт-Петербург,2023-08-11,,0
108,Крылова Фаина Эльдаровна,Женский,1978-05-17,47,высшее,1.0,1,Сотрудник,Полная занятость,Безопасность,6.7,40.0,Личный,Санкт-Петербург,2020-01-08,,5
109,Волкова Юлия Артемовна,Женский,1975-01-13,50,не указано,0.0,0,Ведущий специалист,Полная занятость,Безопасность,12.9,92.0,Личный,Санкт-Петербург,1994-03-15,,31
110,Гаврилов Фортунат Жанович,Мужской,1971-10-19,54,незаконченное высшее,1.0,1,Сотрудник,Полная занятость,Производство,17.6,85.0,Личный,Санкт-Петербург,2011-06-03,,12
111,Колобов Казимир Гертрудович,Мужской,1974-07-13,51,незаконченное высшее,1.0,1,Сотрудник,Полная занятость,Производство,34.1,136.0,Личный,Санкт-Петербург,1981-02-03,,44
112,Агафонов Лонгин Демидович,Мужской,1989-07-08,36,высшее,1.0,1,Линейный менеджер,Полная занятость,Логистика,8.1,56.0,Личный,Санкт-Петербург,2012-11-15,2022-01-17,14
113,Белоусова Марфа Владимировна,Женский,1995-01-04,30,не указано,1.0,0,Сотрудник,Полная занятость,Производство,6.0,1.0,Личный,Санкт-Петербург,2014-10-05,,12
114,Агафонова Клавдия Робертовна,Женский,1990-03-23,35,не указано,0.0,1,Сотрудник,Удалённая,Производство,8.9,58.0,Личный,Санкт-Петербург,2014-11-23,,9
115,Веселова Анжела Андреевна,Женский,1989-12-21,36,высшее,1.0,0,Руководитель отдела,Полная занятость,Сервис и поддержка,5.8,44.0,Общественный,Санкт-Петербург,2019-03-05,,6
116,Рыбаков Януарий Бориславович,Мужской,1967-04-22,58,не указано,0.0,1,Сотрудник,Полная занятость,Производство,5.7,61.0,Общественный,Санкт-Петербург,1986-03-19,,39
117,Богданова Синклитикия Даниловна,Женский,1979-04-06,46,высшее,1.0,1,Сотрудник,Частичная занятость,Техническое обслуживание,28.5,160.0,Общественный,Санкт-Петербург,1992-09-08,,30
118,Селезнев Капитон Васильевич,Мужской,1956-08-19,69,высшее,1.0,0,Сотрудник,Частичная занятость,Техническое обслуживание,9.5,80.0,Общественный,Санкт-Петербург,2001-02-09,,26
119,Тетерин Милен Арсеньевич,Мужской,1980-05-13,45,среднее профессиональное,1.0,1,Линейный менеджер,Полная занятость,Производство,7.0,19.0,Общественный,Санкт-Петербург,2012-12-13,,11
120,Бобылев Иннокентий Исидорович,Мужской,1980-11-06,45,высшее,1.0,1,Сотрудник,Полная занятость,Производство,5.3,5.0,Общественный,Санкт-Петербург,1976-05-07,,46
121,Боброва Галина Павловна,Женский,1978-09-25,47,незаконченное высшее,1.0,1,Сотрудник,Полная занятость,Производство,11.0,67.0,Общественный,Санкт-Петербург,2024-04-13,,0
122,Щукина София Кузьминична,Женский,1972-02-18,53,среднее профессиональное,1.0,1,Линейный менеджер,Полная занятость,Техническое обслуживание,10.3,78.0,Общественный,Санкт-Петербург,2021-09-11,,3
123,Костин Стоян Августович,Мужской,1965-02-15,60,высшее,1.0,0,Руководитель отдела,Полная занятость,Производство,10.3,25.0,Личный,Санкт-Петербург,2020-05-01,,4
124,Харитонов Фадей Ефимович,Мужской,1973-09-09,52,среднее профессиональное,1.0,1,Сотрудник,Полная занятость,Логистика,6.1,1.0,Общественный,Санкт-Петербург,2018-02-05,,10
125,Тетерина Валентина Валентиновна,Женский,1970-08-22,55,среднее профессиональное,1.0,1,Сотрудник,Полная занятость,Техническое обслуживание,4.1,2.0,Личный,Санкт-Петербург,1980-03-13,1989-05-12,43
126,Белоусова Валерия Борисовна,Женский,1970-06-24,55,среднее профессиональное,0.0,1,Линейный менеджер,Полная занятость,Бухгалтерия,24.2,83.0,Личный,Санкт-Петербург,2010-08-26,,17
127,Кононов Фадей Витальевич,Мужской,1981-05-06,44,высшее,1.0,1,Сотрудник,Полная занятость,Логистика,5.6,45.0,Личный,Санкт-Петербург,2017-01-23,,9
128,Дорофеева Ия Юльевна,Женский,1969-08-03,56,незаконченное высшее,1.0,1,Ведущий специалист,Удалённая,Логистика,40.0,167.0,Общественный,Санкт-Петербург,2015-09-17,,10
129,Никитин Мефодий Гертрудович,Мужской,1974-03-11,51,высшее,0.0,1,Директор,Полная занятость,Администрация,4.5,35.0,Личный,Санкт-Петербург,2007-05-20,,17
130,Зимина Иванна Сергеевна,Женский,1983-02-06,42,высшее,1.0,1,Сотрудник,Полная занятость,Безопасность,6.1,33.0,Общественный,Санкт-Петербург,2021-11-12,,3
131,Емельянов Ипатий Антипович,Мужской,2009-09-16,16,высшее,0.0,0,Ведущий специалист,Частичная занятость,ИТ,13.7,79.0,Общественный,Санкт-Петербург,2010-11-11,,13
132,Тарасова Наталья Игоревна,Женский,1969-10-08,56,высшее,1.0,1,Линейный менеджер,Частичная занятость,Техническое обслуживание,12.5,75.0,Личный,Санкт-Петербург,2024-11-21,,1
133,Соловьева Агата Леоновна,Женский,1972-05-27,53,высшее,1.0,1,Сотрудник,Удалённая,Бухгалтерия,14.9,26.0,Общественный,Санкт-Петербург,1992-03-17,,31
134,Мамонтова Василиса Захаровна,Женский,1999-04-20,26,высшее,0.0,0,Ведущий специалист,Частичная занятость,Производство,12.3,32.0,Личный,Санкт-Петербург,2020-08-19,,5
135,Сорокина Нинель Тимуровна,Женский,1981-07-07,44,высшее,0.0,0,Линейный менеджер,Полная занятость,Сбыт,10.2,53.0,Общественный,Санкт-Петербург,2019-03-05,,9
136,Крюкова Наталья Федоровна,Женский,1983-04-02,42,высшее,0.0,1,Линейный менеджер,Временная,Финансы,29.0,189.0,Общественный,Санкт-Петербург,2015-05-25,,13
137,Кузнецов Вениамин Артемьевич,Мужской,1993-03-22,32,не указано,1.0,0,Ведущий специалист,Полная занятость,ИТ,4.2,15.0,Общественный,Санкт-Петербург,2020-06-04,,7
138,Фокин Геннадий Алексеевич,Мужской,1972-08-17,53,высшее,1.0,1,Сотрудник,Полная занятость,Финансы,12.6,54.0,Общественный,Санкт-Петербург,2014-06-17,,8
139,Щукин Моисей Виленович,Мужской,1971-08-15,54,высшее,0.0,1,Ведущий специалист,Полная занятость,Финансы,7.9,55.0,Общественный,Санкт-Петербург,2004-07-01,,19
140,Горбунов Владимир Анатольевич,Мужской,1968-04-18,57,среднее профессиональное,1.0,1,Сотрудник,Полная занятость,Производство,11.2,109.0,Общественный,Санкт-Петербург,2014-11-16,,12
141,Тимофеева Майя Аскольдовна,Женский,1975-11-11,50,высшее,1.0,1,Линейный менеджер,Полная занятость,Техническое обслуживание,23.8,100.0,Личный,Санкт-Петербург,2020-05-27,,7
142,Мясников Мирон Глебович,Мужской,1987-12-14,38,высшее,1.0,1,Ведущий специалист,Полная занятость,Производство,6.1,46.0,Общественный,Санкт-Петербург,2009-08-18,,13
143,Федосеев Ипат Бориславович,Мужской,1979-02-06,46,не указано,1.0,1,Сотрудник,Полная занятость,Логистика,7.5,63.0,Личный,Санкт-Петербург,2015-06-26,,13
144,Казаков Федот Устинович,Мужской,1961-06-20,64,высшее,1.0,1,Сотрудник,Временная,Производство,20.8,118.0,Общественный,Санкт-Петербург,2013-11-02,,9
